Sınav,Ders,Alan,Konu,Sınav ID,Ders ID,Alan ID,Konu ID
TYT,Matematik,SAYMA VE OLASILIK,Basit Olayların Olasılıkları,tyt,tyt-matematik,tyt-matematik-sayma-ve-olasilik,tyt-matematik-sayma-ve-olasilik-basit-olaylarin-olasiliklari
TYT,Matematik,FONKSIYONLAR,Fonksiyon kavramı ve gösterimi,tyt,tyt-matematik,tyt-matematik-fonksiyonlar,tyt-matematik-fonksiyonlar-fonksiyon-kavrami-ve-gosterimi
TYT,Matematik,FONKSIYONLAR,İki fonksiyonun bileşkesi ve ters fonksiyon,tyt,tyt-matematik,tyt-matematik-fonksiyonlar,tyt-matematik-fonksiyonlar-iki-fonksiyonun-bileskesi-ve-ters-fonksiyon
TYT,Matematik,POLINOMLAR,Polinom kavramı ve polinomlarda işlemler,tyt,tyt-matematik,tyt-matematik-polinomlar,tyt-matematik-polinomlar-polinom-kavrami-ve-polinomlarda-islemler
TYT,Matematik,POLINOMLAR,Polinomların çarpanlara ayrılması,tyt,tyt-matematik,tyt-matematik-polinomlar,tyt-matematik-polinomlar-polinomlarin-carpanlara-ayrilmasi
TYT,Matematik,İKINCI DERECEDEN DENKLEMLER,İkinci dereceden bir bilinmeyenli denklemler,tyt,tyt-matematik,tyt-matematik-ikinci-dereceden-denklemler,tyt-matematik-ikinci-dereceden-denklemler-ikinci-dereceden-bir-bilinmeyenli-denklemler
TYT,Matematik,DÖRTGENLER VE ÇOKGENLER,Çokgenler,tyt,tyt-matematik,tyt-matematik-dortgenler-ve-cokgenler,tyt-matematik-dortgenler-ve-cokgenler-cokgenler
TYT,Matematik,DÖRTGENLER VE ÇOKGENLER,Özel dörtgenler,tyt,tyt-matematik,tyt-matematik-dortgenler-ve-cokgenler,tyt-matematik-dortgenler-ve-cokgenler-ozel-dortgenler
TYT,Matematik,UZAY GEOMETRI,Katı cisimler,tyt,tyt-matematik,tyt-matematik-uzay-geometri,tyt-matematik-uzay-geometri-kati-cisimler
TYT,Fizik,FIZIK BILIMINE GIRIŞ VE MADDE,Fizik Bilimine Giriş,tyt,tyt-fizik,tyt-fizik-fizik-bilimine-giris-ve-madde,tyt-fizik-fizik-bilimine-giris-ve-madde-fizik-bilimine-giris
